timestamp,duration (s)
1667229509.936891,0.00436777
1667233466.3969824,0.00431141
1667236563.0223045,0.00431925
1667239990.4862266,0.00436593
1667243708.0664668,0.00449469
1667247635.9978821,0.00436281
1667250957.6719599,0.00434452
1667254535.5999804,0.00435784
1667258673.0155256,0.00434775
1667262097.7103224,0.00436409
1667265168.7739904,0.00440668
1667268780.895817,0.004359399999999999
1667272398.3467994,0.00440497
1667276145.958037,0.00435084
1667279631.5802953,0.0043768
1667283269.2102466,0.00434636
1667286810.5433226,0.00436792
1667290396.6427052,0.00438778
1667294014.3494368,0.00436466
1667297574.6843061,0.004285499999999999
1667301157.4392705,0.00435416
1667304772.3104706,0.00438537
1667308363.5588882,0.004370000000000001
1667311998.982234,0.00433312
1667315585.961638,0.00434413
1667319236.0940356,0.00431311
1667323190.2720466,0.00441424
1667326792.3232634,0.00432646
1667330790.27541,0.00436902
1667334763.835162,0.00434605
1667338171.479295,0.00435907
1667340971.6671536,0.00430027
1667344482.0623686,0.00437517
1667348186.667093,0.00433415
1667351682.4609509,0.00435393
1667358911.4307814,0.00432629
1667362508.0086205,0.00434629
1667366047.8982565,0.00438176
1667370003.3219845,0.00436139
1667373480.3692212,0.00435607
1667376827.4741848,0.00436344
1667380470.0409436,0.00434171
1667384054.8319438,0.00436324
1667387795.895827,0.00436636
1667391219.0300019,0.00433497
1667394864.6971624,0.00437681
1667398439.5364926,0.00437105
1667402051.2216434,0.00436622
1667405717.6305964,0.0043162
1667409247.7290773,0.00436122
1667412882.2828767,0.00448114
1667416529.3698876,0.00435742
1667420122.0367913,0.00432562
1667423710.4606574,0.00431476
1667427449.6871693,0.00432951
1667430931.3772538,0.00432994
1667434536.9890952,0.00434401
1667438118.829568,0.00435876
1667441680.3804386,0.00440014
1667445335.3595517,0.00434872
1667448963.6775765,0.00434237
1667456157.446615,0.00432541
1667459661.027086,0.00436172
1667463425.2839475,0.00435646
1667466807.4935234,0.00436094
1667470451.8276932,0.00438018
1667474120.7375052,0.00433448
1667477672.8261266,0.00434473
1667481268.9355464,0.00438347
1667484872.5299516,0.00448543
1667488652.9890938,0.00435237
1667492161.4658122,0.00442958
1667496390.5394993,0.00436528
1667499891.09344,0.00439348
1667503239.3182516,0.0043341000000000005
1667506913.2550142,0.00434402
1667510297.6767292,0.00436025
1667514049.4775195,0.004392899999999999
1667517609.0806046,0.00433671
1667521190.5559015,0.00434232
1667524554.4426358,0.00437538
1667528091.697186,0.00436003
1667531683.431325,0.00436448
1667535354.3767052,0.00435556
1667538980.0226686,0.00431841
1667542535.5210905,0.00434154
1667546111.0389647,0.00445311
1667550576.6437705,0.00431915
1667553367.2379231,0.00439102
1667556987.9937675,0.00436129
1667560393.2340815,0.00432902
1667563999.3765702,0.00435663
1667567584.9334328,0.00440589
1667571214.730387,0.00437435
1667574810.0498662,0.00435247
1667578418.0812676,0.00449921
1667582041.1377065,0.00446041
1667585647.3739002,0.00432312
1667592813.054499,0.00435264
1667596521.408804,0.00435534
1667600129.777007,0.00434356
1667603659.9803994,0.00431087
1667608742.5882235,0.00437393
1667610795.4018939,0.00433587
1667614466.320946,0.00440703
1667618117.737944,0.00439741
1667621564.976928,0.00436457
1667625160.9080267,0.00435932
1667628742.8644733,0.00434544
1667632422.9166973,0.00433942
1667635980.5040376,0.00435292
1667639600.984301,0.00436734
1667643248.5436714,0.00435713
1667646787.5634274,0.0043505
1667650392.0490663,0.00434922
1667653988.806659,0.00445165
1667657610.5837018,0.00438384
1667661166.1587558,0.00465842
1667664827.3729146,0.00432183
1667668465.9287062,0.00436748
1667672248.561653,0.00438905
1667676138.2922401,0.00434191
1667679412.5208836,0.00431673
1667682827.1760776,0.00432111
1667686501.206566,0.00432581
1667690045.6168811,0.00430566
1667694460.6522412,0.00439621
1667697253.8247087,0.00434805
1667700829.7662866,0.00436857
1667704980.0269597,0.00445688
1667708122.732468,0.00431085
1667711673.55288,0.00432367
1667715222.6014428,0.00440462
1667720128.0366938,0.00431702
1667722536.423577,0.00437519
1667730733.0127802,0.00436133
1667733206.3846786,0.00433231
1667737182.82944,0.00431726
1667740634.061058,0.00437682
